                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.81645,                0.65147,                 1.1601,                0.95489,                0.88318,                0.94169,                0.78001,                0.68486,                0.42193,                 1.0433,               0.007591,               0.007591,               0.007591
                     75,                0.82102,                0.65147,                 1.1641,                0.95829,                0.88502,                0.94195,                0.78115,                0.68145,                0.41627,                 1.0425,               0.007558,               0.007558,               0.007558
                     76,                0.80815,                0.64341,                 1.1565,                0.95049,                 0.8896,                0.94042,                0.77784,                0.68681,                0.41623,                 1.0445,               0.007525,               0.007525,               0.007525
                     77,                0.81271,                0.64745,                 1.1617,                0.94945,                0.88898,                0.94308,                0.78099,                0.68037,                0.41317,                 1.0418,               0.007492,               0.007492,               0.007492
                     78,                0.81835,                0.64517,                 1.1614,                0.95364,                0.89233,                0.94309,                0.78051,                0.67756,                0.41245,                 1.0405,               0.007459,               0.007459,               0.007459
                     79,                0.81183,                0.64716,                 1.1609,                0.96066,                0.88763,                0.94354,                0.78287,                0.67244,                0.41437,                 1.0362,               0.007426,               0.007426,               0.007426
                     80,                0.80046,                0.64299,                 1.1583,                0.95943,                0.88895,                0.94373,                 0.7831,                0.67073,                0.40819,                 1.0359,               0.007393,               0.007393,               0.007393
                     81,                0.81174,                0.64185,                 1.1566,                0.96151,                  0.888,                0.94475,                0.78472,                0.66153,                0.40394,                 1.0295,                0.00736,                0.00736,                0.00736
                     82,                0.81131,                0.63654,                 1.1552,                0.96158,                0.88896,                0.94332,                0.78646,                0.66067,                0.40447,                 1.0301,               0.007327,               0.007327,               0.007327
                     83,                0.80007,                0.63531,                 1.1552,                0.96072,                0.89296,                0.94505,                0.78736,                0.66095,                0.40221,                 1.0323,               0.007294,               0.007294,               0.007294
                     84,                0.79551,                0.63539,                 1.1488,                0.96415,                0.88901,                0.94518,                0.79029,                0.65841,                0.39854,                 1.0287,               0.007261,               0.007261,               0.007261
                     85,                0.80437,                0.64026,                 1.1564,                0.96129,                 0.8897,                0.94666,                0.79153,                0.65396,                0.39658,                 1.0216,               0.007228,               0.007228,               0.007228
                     86,                0.79335,                0.62749,                 1.1461,                0.95878,                0.88967,                0.94596,                0.79291,                0.65032,                0.39658,                 1.0203,               0.007195,               0.007195,               0.007195
                     87,                0.79599,                0.62631,                 1.1523,                0.96151,                0.89452,                0.94658,                0.79166,                0.64742,                0.39491,                 1.0198,               0.007162,               0.007162,               0.007162
                     88,                0.80265,                0.63465,                 1.1524,                0.96401,                0.88709,                0.94693,                 0.7934,                0.64289,                0.39317,                 1.0173,               0.007129,               0.007129,               0.007129
                     89,                0.79057,                0.62233,                 1.1453,                0.95794,                0.89122,                0.94774,                0.79375,                0.64152,                0.39133,                 1.0146,               0.007096,               0.007096,               0.007096
                     90,                0.79164,                0.62661,                 1.1515,                0.96312,                0.88933,                0.94589,                0.79541,                0.64042,                 0.3895,                 1.0148,               0.007063,               0.007063,               0.007063
                     91,                0.78588,                0.62189,                 1.1457,                0.96714,                0.88401,                0.94616,                0.79712,                0.63562,                0.38764,                 1.0138,                0.00703,                0.00703,                0.00703
                     92,                0.78963,                0.61866,                 1.1472,                0.96775,                 0.8882,                0.94599,                0.79687,                0.63242,                0.38657,                 1.0125,               0.006997,               0.006997,               0.006997
                     93,                0.78253,                0.60959,                 1.1401,                0.96182,                0.89156,                0.94638,                0.79703,                0.62955,                  0.385,                 1.0089,               0.006964,               0.006964,               0.006964
                     94,                0.78684,                0.62477,                 1.1445,                 0.9696,                0.88796,                0.94582,                0.79795,                0.62783,                0.38585,                 1.0061,               0.006931,               0.006931,               0.006931
                     95,                 0.7712,                0.60709,                 1.1341,                0.96376,                0.89306,                0.94622,                0.79991,                 0.6267,                0.38567,                 1.0041,               0.006898,               0.006898,               0.006898
                     96,                0.77345,                0.60305,                 1.1327,                 0.9668,                0.89035,                0.94622,                0.80042,                 0.6242,                0.38244,                 1.0015,               0.006865,               0.006865,               0.006865
                     97,                0.77914,                0.61523,                 1.1422,                0.96593,                0.89206,                0.94696,                0.80285,                0.62234,                 0.3783,                 1.0023,               0.006832,               0.006832,               0.006832
                     98,                0.77666,                0.60804,                 1.1382,                0.96659,                0.89313,                0.94664,                0.80315,                0.62357,                0.37751,                 1.0062,               0.006799,               0.006799,               0.006799
                     99,                0.77647,                0.61831,                 1.1414,                0.96855,                0.89407,                0.94784,                0.80333,                0.61917,                0.37718,                 1.0022,               0.006766,               0.006766,               0.006766
                    100,                 0.7769,                0.61586,                 1.1411,                0.95846,                0.90082,                0.94753,                0.80302,                0.61788,                0.37631,                  1.002,               0.006733,               0.006733,               0.006733
                    101,                0.76811,                0.60541,                 1.1332,                0.96542,                 0.8971,                0.94805,                0.80453,                0.61579,                0.37552,                0.99977,                 0.0067,                 0.0067,                 0.0067
                    102,                0.77508,                0.60646,                 1.1366,                0.96629,                0.89592,                0.94721,                 0.8045,                0.61206,                0.37594,                0.99567,               0.006667,               0.006667,               0.006667
                    103,                0.76966,                0.60009,                 1.1337,                0.97092,                0.89333,                0.94684,                0.80446,                0.61149,                0.37278,                0.99482,               0.006634,               0.006634,               0.006634
                    104,                  0.771,                 0.6011,                 1.1334,                0.96692,                 0.8968,                0.94791,                0.80549,                 0.6101,                0.36946,                0.99422,               0.006601,               0.006601,               0.006601
                    105,                0.75972,                0.59155,                 1.1264,                0.96428,                0.89758,                0.94746,                 0.8055,                0.60873,                0.36839,                0.99326,               0.006568,               0.006568,               0.006568
                    106,                 0.7581,                0.58899,                 1.1241,                0.97016,                0.89103,                0.94768,                0.80674,                0.61003,                0.36833,                 0.9943,               0.006535,               0.006535,               0.006535
                    107,                0.75747,                 0.5883,                 1.1238,                0.96778,                0.89075,                0.94793,                0.80927,                0.60606,                 0.3671,                0.99069,               0.006502,               0.006502,               0.006502
                    108,                0.75251,                 0.5856,                 1.1257,                0.97016,                0.89232,                0.94888,                0.80977,                0.60437,                0.36667,                0.98964,               0.006469,               0.006469,               0.006469
                    109,                0.75709,                0.58928,                 1.1219,                 0.9665,                0.89665,                0.94911,                0.81069,                0.60153,                 0.3658,                0.98741,               0.006436,               0.006436,               0.006436
                    110,                0.75403,                0.58881,                 1.1242,                0.96821,                0.89467,                0.94856,                0.81134,                0.60058,                0.36413,                0.98756,               0.006403,               0.006403,               0.006403
                    111,                0.75817,                0.59387,                 1.1268,                0.96192,                0.89908,                0.94832,                0.81181,                0.59887,                0.36535,                0.98685,                0.00637,                0.00637,                0.00637
                    112,                0.75069,                0.58015,                 1.1195,                0.96562,                0.89749,                0.94861,                0.81132,                 0.5991,                0.36478,                0.98703,               0.006337,               0.006337,               0.006337
                    113,                0.75038,                0.58291,                  1.122,                0.95925,                0.90085,                0.94894,                0.81186,                0.59817,                0.36535,                0.98529,               0.006304,               0.006304,               0.006304
                    114,                0.75254,                0.58191,                   1.12,                0.95452,                0.90712,                0.94879,                0.81344,                 0.5965,                0.36437,                0.98387,               0.006271,               0.006271,               0.006271
                    115,                0.74058,                0.57452,                 1.1167,                0.95886,                0.90312,                0.94845,                0.81336,                0.59398,                0.36392,                0.98136,               0.006238,               0.006238,               0.006238
                    116,                0.74641,                0.58426,                 1.1218,                0.96129,                0.90202,                0.94873,                0.81415,                0.59284,                0.36255,                0.98178,               0.006205,               0.006205,               0.006205
                    117,                0.74342,                0.57353,                 1.1195,                0.96451,                0.89925,                0.94864,                0.81471,                0.58994,                0.36196,                0.97951,               0.006172,               0.006172,               0.006172
                    118,                0.74875,                0.57747,                 1.1214,                0.96471,                0.90211,                0.94847,                0.81637,                0.58877,                0.35995,                0.97867,               0.006139,               0.006139,               0.006139
                    119,                 0.7339,                0.56966,                 1.1164,                0.96602,                0.90175,                0.94833,                0.81676,                0.58656,                0.35841,                 0.9767,               0.006106,               0.006106,               0.006106
                    120,                0.73116,                0.56889,                  1.108,                0.96391,                0.90383,                 0.9491,                0.81687,                 0.5853,                0.35752,                0.97565,               0.006073,               0.006073,               0.006073
                    121,                 0.7334,                0.56466,                 1.1123,                0.96523,                0.90413,                0.94909,                0.81687,                0.58556,                0.35722,                0.97722,                0.00604,                0.00604,                0.00604
                    122,                0.74076,                0.57416,                 1.1171,                0.96317,                 0.9049,                0.94922,                0.81713,                0.58461,                0.35573,                0.97649,               0.006007,               0.006007,               0.006007
                    123,                0.73338,                0.56835,                 1.1128,                0.96421,                0.90441,                0.94987,                0.81826,                0.58274,                0.35425,                0.97557,               0.005974,               0.005974,               0.005974
                    124,                0.72744,                0.56066,                 1.1077,                0.96521,                0.90311,                0.94947,                0.81803,                0.58136,                 0.3532,                0.97377,               0.005941,               0.005941,               0.005941
                    125,                 0.7314,                0.56035,                 1.1062,                0.96307,                0.90425,                0.94924,                0.81785,                 0.5799,                0.35225,                0.97266,               0.005908,               0.005908,               0.005908
                    126,                0.72917,                0.56888,                 1.1073,                0.96624,                0.90269,                 0.9493,                0.81838,                 0.5781,                0.35121,                0.97123,               0.005875,               0.005875,               0.005875
                    127,                0.72799,                0.55906,                 1.1065,                0.96769,                0.90265,                0.95002,                0.81735,                0.57655,                0.35059,                0.97022,               0.005842,               0.005842,               0.005842
                    128,                0.73455,                0.56352,                 1.1078,                0.96587,                0.90177,                 0.9495,                0.81843,                0.57547,                0.35064,                0.96918,               0.005809,               0.005809,               0.005809
                    129,                0.72274,                 0.5585,                 1.1075,                0.96701,                0.90055,                0.94918,                0.81956,                0.57426,                0.34948,                0.96843,               0.005776,               0.005776,               0.005776
                    130,                0.72355,                 0.5581,                 1.1008,                0.96855,                0.89987,                0.94952,                 0.8202,                 0.5733,                0.34894,                 0.9673,               0.005743,               0.005743,               0.005743
                    131,                0.72465,                0.55886,                 1.1083,                0.96636,                0.90214,                0.94936,                0.82041,                0.57136,                0.34789,                0.96596,                0.00571,                0.00571,                0.00571
                    132,                0.71423,                0.54878,                 1.0978,                0.96645,                 0.9021,                0.94912,                0.82085,                0.57055,                0.34694,                0.96579,               0.005677,               0.005677,               0.005677
                    133,                0.71885,                0.55366,                 1.1033,                0.96825,                0.90244,                0.94927,                0.82124,                0.56948,                0.34607,                0.96505,               0.005644,               0.005644,               0.005644
                    134,                0.72027,                0.54969,                 1.1019,                0.96849,                0.90165,                0.94949,                0.82204,                0.56632,                0.34548,                0.96172,               0.005611,               0.005611,               0.005611
                    135,                0.72068,                0.55861,                 1.1018,                0.96879,                0.90295,                0.94934,                0.82155,                 0.5673,                0.34519,                0.96375,               0.005578,               0.005578,               0.005578
                    136,                0.72118,                0.55123,                 1.1034,                0.96891,                0.90293,                0.94998,                0.82183,                0.56593,                0.34449,                0.96255,               0.005545,               0.005545,               0.005545
                    137,                0.71116,                0.54782,                 1.0964,                0.97192,                0.90149,                0.95012,                0.82283,                0.56419,                0.34309,                0.96132,               0.005512,               0.005512,               0.005512
                    138,                0.71629,                0.54633,                 1.0994,                0.96893,                0.90357,                0.95053,                0.82274,                0.56283,                0.34325,                0.96031,               0.005479,               0.005479,               0.005479
                    139,                0.70674,                0.53999,                 1.0977,                0.97036,                0.90125,                0.94985,                0.82305,                0.56183,                0.34286,                0.95947,               0.005446,               0.005446,               0.005446
                    140,                0.71018,                0.54396,                 1.0974,                0.97015,                0.90171,                0.94994,                0.82332,                0.56188,                0.34184,                0.95989,               0.005413,               0.005413,               0.005413
                    141,                0.71241,                0.54415,                 1.0946,                0.97269,                0.89967,                0.95008,                0.82407,                0.56179,                0.34165,                 0.9603,                0.00538,                0.00538,                0.00538
                    142,                 0.7066,                0.53675,                 1.0948,                0.97337,                0.90007,                0.95015,                0.82369,                0.55871,                0.34178,                 0.9566,               0.005347,               0.005347,               0.005347
                    143,                0.70015,                 0.5401,                 1.0972,                0.97298,                0.90022,                0.95016,                0.82393,                0.55812,                0.34118,                0.95628,               0.005314,               0.005314,               0.005314
                    144,                   0.71,                0.54631,                 1.1025,                0.97223,                0.90009,                0.95009,                0.82414,                0.55761,                0.34056,                0.95621,               0.005281,               0.005281,               0.005281
                    145,                0.70332,                0.53809,                 1.0961,                0.97257,                0.89968,                0.95024,                0.82488,                0.55706,                0.34053,                0.95592,               0.005248,               0.005248,               0.005248
                    146,                0.69953,                0.53883,                 1.0933,                0.97358,                0.89933,                0.95041,                0.82522,                0.55616,                0.34081,                0.95558,               0.005215,               0.005215,               0.005215
